state,county,month.index,avg.temp,lat,lng,type,cases
IA,sac county,12,18.5,42.3863,-95.1054,poultry,90000
IA,ida county,12,18.9,42.3869,-95.5135,poultry,90000
NE,dixon county,4,45,42.4931,-96.8677,poultry,1746900
NE,dixon county,11,33.8,42.4931,-96.8677,poultry,1700000
MI,ingham county,9,62.9,42.5971,-84.3735,poultry,20
NE,knox county,4,45.5,42.6368,-97.8919,poultry,2118000
NE,knox county,12,19.4,42.6368,-97.8919,poultry,160
IA,franklin county,3,35.2,42.7325,-93.2625,poultry,250200
IA,wright county,10,48.8,42.7331,-93.7351,poultry,1100000
IA,wright county,11,35.2,42.7331,-93.7351,poultry,1022800
IA,buena vista county,3,35.2,42.7355,-95.1511,poultry,5486700
IA,buena vista county,12,17.2,42.7355,-95.1511,poultry,91900
IA,buena vista county,13,19.8,42.7355,-95.1511,poultry,27700
IA,cherokee county,3,35.5,42.7356,-95.6238,poultry,88000
IA,cherokee county,12,17.6,42.7356,-95.6238,poultry,155000
WI,racine county,4,43.6,42.7475,-88.0612,poultry,220
WI,racine county,9,64.2,42.7475,-88.0612,poultry,10000
IA,bremer county,4,41.5,42.7746,-92.318,poultry,29200
IA,humboldt county,4,41.6,42.7764,-94.2072,poultry,15300
ID,gooding county,4,42.3,42.971,-114.8116,poultry,20
ID,gooding county,9,67.2,42.971,-114.8116,poultry,9000
SD,bon homme county,3,36,42.9885,-97.8846,poultry,48200
SD,yankton county,4,45.2,43.009,-97.3948,poultry,76100
WI,jefferson county,3,35,43.0208,-88.7759,poultry,2750700
WI,jefferson county,11,39.2,43.0208,-88.7759,poultry,187900
MI,lapeer county,10,50.3,43.0901,-83.2218,poultry,140
MI,lapeer county,11,41.3,43.0901,-83.2218,poultry,990
NY,monroe county,3,36.5,43.1464,-77.6961,poultry,400
SD,gregory county,10,51.9,43.1924,-99.1856,poultry,200
SD,gregory county,11,33.3,43.1924,-99.1856,poultry,3000
SD,charles mix county,3,36.3,43.2079,-98.5879,poultry,135400
SD,charles mix county,4,44.9,43.2079,-98.5879,poultry,81500
SD,charles mix county,11,33.1,43.2079,-98.5879,poultry,75100
SD,charles mix county,12,18.3,43.2079,-98.5879,poultry,34100
NY,orleans county,4,44.9,43.2521,-78.2312,poultry,30
MI,muskegon county,5,60.6,43.2912,-86.152,poultry,35100
NH,merrimack county,9,59.7,43.2975,-71.6802,poultry,250
SD,hutchinson county,3,34.5,43.3349,-97.7544,poultry,135400
WI,washington county,9,61.8,43.3685,-88.2307,poultry,120
IA,osceola county,3,32.8,43.3786,-95.6237,poultry,5011700
ID,ada county,5,54.3,43.4511,-116.2412,poultry,149
MI,tuscola county,10,49.9,43.4641,-83.4167,poultry,140
ID,canyon county,5,55.4,43.6251,-116.7093,poultry,276
SD,hanson county,3,33.1,43.6748,-97.7873,poultry,114800
SD,hanson county,11,30.7,43.6748,-97.7873,poultry,71600
SD,hanson county,12,14.5,43.6748,-97.7873,poultry,55700
SD,brule county,3,35.2,43.7181,-99.0809,poultry,55100
SD,brule county,10,51.2,43.7181,-99.0809,poultry,500
ID,madison county,4,38.6,43.7841,-111.6592,poultry,200
ME,cumberland county,3,33.8,43.8465,-70.399,poultry,250
OR,deschutes county,7,67,43.915,-121.2282,poultry,320
OR,lane county,5,48.6,43.9387,-122.8479,poultry,450
SD,lake county,4,40.2,44.022,-97.1294,poultry,59000
SD,lake county,12,13.7,44.022,-97.1294,poultry,78000
SD,moody county,12,14,44.022,-96.6709,poultry,1332100
MN,waseca county,4,39.1,44.0221,-93.5873,poultry,63700
MN,dodge county,4,39.1,44.0226,-92.862,poultry,20000
MN,dodge county,12,16.8,44.0226,-92.862,poultry,10000
MN,blue earth county,4,39.9,44.0346,-94.067,poultry,49100
SD,jerauld county,3,32.7,44.0663,-98.6296,poultry,44000
MN,brown county,9,63.8,44.2421,-94.7276,poultry,86700
